Chemical formula,Synonyms,CAS number
CrF6,chromium(VI) fluoride,13843–28–2
CrI2,chromium(II) iodide,13478–28–9
CrI3,chromium(III) iodide,13569–75–0
Cr(NO3)3,chromium(III) nitrate,13548–38–4
Cr(NO2)3,chromium(III) nitrite,
Cr(OH)3,chromium(III) hydroxide,1308–14–1
CrO2,chromium(IV) oxide,12018–01–8
CrO3,chromium(VI) oxide,1333–82–0
CrO42−,chromate ion,13907–45–4
CrO2Cl2,chromium(VI) oxychloride,14977–61–8
CrPO4,chromium(III) phosphate,7789–04–0
CrSb,chromium antimonide,12053–12–2
CrSe,chromium(II) selenide,12053–13–3
CrSi2,chromium(II) silicide,12018–09–6
CrVO4,chromium(III) orthovanadate,
Cr2O3,chromium(III) oxide eskolaite,1308–38–9
Cr2(SO4)3,chromium(III) sulfate,10101–53–8
Cr2S3,chromium(III) sulfide,12018–22–3
Cr2Se3,chromium(III) selenide,
Cr2(TeO4)3,chromium(III) tellurate,
Cr2Te3,chromium(III) telluride,12053–39–3
Cr3As2,chromium(II) arsenide,
Cr3C2,chromium(II) carbide,12012–35–0
Cr3Sb2,chromium(II) antimonide,
CsBO2,caesium borate,92141–86–1
CsBr,caesium bromide,7787–69–1
CsBrO,caesium hypobromite,
CsBrO2,caesium bromite,
CsBrO3,caesium bromate,13454–75–6
CsBrO4,caesium perbromate,
CsBr3,caesium tribromide,14023–00–8
CsCN,caesium cyanide,21159–32–0
CsCNO,caesium cyanate,
CsCNO,caesium fulminate,
CsC2H3O2,caesium acetate,3396–11–0
CsCl,caesium chloride,7647–17–8
CsClO,caesium hypochlorite,
CsClO2,caesium chlorite,
CsClO3,caesium chlorate,13763–67–2
CsClO4,caesium perchlorate,13454–84–7
CsF,caesium fluoride,13400–13–0
CsH,caesium hydride,13772–47–9
CsHS,caesium hydrosulfide,
CsI,caesium iodide,7789–17–5
CsIO,caesium hypoiodite,
CsIO2,caesium iodite,
CsIO3,caesium iodate,13454–81–4
CsIO4,caesium periodate,13478–04–1
CsI3,caesium triiodide,12297–72–2
CsNH2,caesium amide,22205–57–8
CsNO2,caesium nitrite,13454–83–6
CsNO3,caesium nitrate,7789–18–6
CsN3,caesium azide,22750–57–8
CsNbO3,caesium niobate,12053–66–6
Cs2NbO3,caesium metaniobate,
CsOH,caesium hydroxide,21351–79–1
CsO2,caesium superoxide,12018–61–0
Cs2O2,caesium peroxide,
Cs2S,caesium sulfide,12214–16–3
CsSCN,caesium thiocyanate,3879–01–4
CsSeO4,caesium selenate,10326–29–1
CsTaO3,caesium metatantalate,12158–56–4
Cs2CO3,caesium carbonate,29703–01–3
CsHCO3,caesium bicarbonate,15519–28–5
CsH2PO3,monocaesium phosphite,
CsH2PO4,monocaesium phosphate,18649–05–3
CsHSO3,caesium bisulfite,
CsHSO4,caesium hydrogen sulfate,7789–16–4
Cs2C2O4,caesium oxalate,1068–63–9
Cs2CrO4,caesium chromate,13454–78–9
Cs2Cr2O7,caesium dichromate,13530–67–1
Cs2HPO4,caesium hydrogen orthophosphate,
Cs2MoO4,caesium molybdate,13597–64–3
Cs2O,caesium oxide,20281–00–9
Cs2SO3,caesium sulfite,
Cs2SO4,caesium sulfate,10294–54–9
Cs2SiO3,caesium metasilicate,15586–77–3
Cs2TeO4,caesium tellurate,34729–54–9
Cs2TiO3,caesium titanate caesium metatitanate,12158–57–5
Cs2WO4,caesium orthotungstate,13587–19–4
Cs2HPO3,dicaesium phosphite,
Cs2HPO4,dicaesium phosphate,
Cs3PO3,tricaesium phosphite,
Cs3PO4,caesium orthophosphate,17893–64–0
Cs3VO4,caesium orthovanadate,34283–69–7
CuBr,copper(I) bromide,7787–70–4
Cu(BrO3)2 · 6H2O,copper(II) bromate hexahydrate,
CuBr2,copper(II) bromide,7789–45–9
CuC2O4,copper oxalate,814–91–5
Cu(CH3COO),copper(I) acetate,598–54–9
Cu(CH3COO)2,copper(II) acetate,142–71–2
CuCl,copper(I) chloride,7758–89–6
Cu(ClO3)2 · 6H2O,copper(II) chlorate hexahydrate,13478–36–9
CuCl2,copper(II) chloride,7447–39–4
CuF,copper(I) fluoride,7789–19–7
CuF2,copper(II) fluoride,11113–59–0
CuFeS2,copper iron sulfide chalcopyrite,12015–76–8
CuFe2O4,copper(II) iron(II) oxide,37220–43–2
CuFe2S3,copper iron sulfide cubanite,37293–35–9
[Cu(H2O)4]SO4 · H2O,blue vitriol,
CuI,copper(I) iodide,7681–65–4
CuIO3,copper(I) iodate,
Cu(IO3)2,copper(II) iodate,13454–89–2
CuMoO4,copper(II) orthomolybdate,
Cu(NO3)2,copper(II) nitrate,3251–23–8
Cu(NO3)2 · 3H2O,copper(II) nitrate trihydrate,10031–43–3
Cu(NO3)2 · 6H2O,copper(II) nitrate hexahydrate,10294–41–4
Cu(NbO3)2,copper(II) orthoniobate,
CuO,copper(II) oxide,1317–38–0
Cu2O,copper(I) oxide,1317–39–1
Cu(OH)2,copper(II) hydroxide,20427–59–2
Cu2(OH)2CO3,basic copper carbonate,12069–69–1
CuS,copper(II) sulfide covellite,1317–40–4
CuSCN,copper(I) thiocyanate,1111–67–7
CuSO4,copper(II) sulfate,7758–98–7
CuSO4 · 5H2O,copper(II) sulfate pentahydrate,7758–99–8
CuSe,copper(II) selenide,37359–15–2
CuSeO3 · 2H2O,copper(II) selenite dihydrate,15168–20–4
CuSeO4 · 5H2O,copper(II) selenate pentahydrate,
CuSiO3,copper(II) metasilicate,
CuTe,copper(II) telluride,12019–23–7
CuTeO3,copper(II) tellurite,13812–58–3
CuTiO3,copper(II) metatitanate,12019–08–8
Cu(VO3)2,copper(II) metavanadate,14958–34–0
CuWO4,copper(II) orthotungstate,13587–35–4
Cu2CO3(OH)2,malachite,1319–53–5
Cu2S,copper(I) sulfide chalcocite,21112–20–9
Cu2Se,copper(I) selenide,20405–64–5
Cu2Te,copper(I) telluride,12019–52–2
Cu3As,copper(I) arsenide,12005–75–3
Cu3P,copper(I) phosphide,12019–57–7
Cu3(PO4)2,copper(II) phosphate,7798–23–4
Cu3Sb,copper(III) antimonide,12054–25–0
Cu9S5,copper sulfide digenite,
,,
DBr,deuterium bromide,
DI,deuterium iodide,
DLi,lithium deuteride,
DNa,sodium deuteride,
D2O,heavy water,
D3O+,trideuterioxonium ion,
DyBr3,dysprosium(III) bromide,
DyCl2,dysprosium(II) chloride,
DyCl3,dysprosium(III) chloride,
DySi2,dysprosium(II) silicide,
Dy2O3,dysprosium(III) oxide,
Dy2S3,dysprosium(III) sulfide,
ErCl3,erbium(III) chloride,10138–41–7
ErF,erbium monofluoride,16087–67–5
ErF2,erbium difluoride,16087–65–3
ErF3,erbium trifluoride,13760–83–3
ErI3,erbium triiodide,13813–42–8
ErI4Na,erbium sodium tetraiodide,129863–13–4
ErO,erbium monoxide,12280–61–4
EuCl2,europium(II) chloride,13769–20–5
EuCl3,europium(III) chloride,10025–76–0
EuF,europium monofluoride,17209–60–8
EuF3,europium trifluoride,13765–25–8
EuI2,europium diiodide,22015–35–6
EuNbO2,europium niobium dioxide,107069–78–3
EuNb2O6,europium diniobium hexaoxide,55216–32–5
EuO,europium monoxide,12020–60–9
EuO2V,monoeuropium monovandium dioxide,88762–30–5
EuO3Ti,europium titanium trioxide,12020–61–0
EuO3V,europium metavanadate,39432–21–8
EuO4W,europium tungsten tetraoxide,13537–12–7
EuS,europium monosulfide,12020–65–4
EuSO4,europium(II) sulfate,10031–54–6
EuS2,europium disulfide,55957–42–1
Eu2O,dieuropium monoxide,62462–47–9
Eu2O2,dieuropium dioxide,62462–48–0
Eu2O3,europium(III) oxide,1308–96–9
Eu2S,dieuropium monosulfide,62462–49–1
Eu2S2,dieuropium disulfide,62462–51–5
Eu2(SO4)3,europium(III) sulfate,13537–15–0
,,
FGa,gallium monofluoride,13966–78–4
FGaO,gallium monofluoride monoxide,15586–66–0
FGd,gadolinium monofluoride,12259–18–6
FGe,germanium monofluoride,14929–46–5
FHo,holmium monofluoride,16087–66–4
FI,iodine monofluoride,13873–84–2
FI2,monofluorodiiodine,58751–33–0
FIn,indium monofluoride,13966–95–5
FLa,lanthanum monofluoride,13943–44–7
FLi,lithium fluoride,7789–24–4
FLiO,lithium hypofluorite,34240–84–1
FLi2,dilithium monofluoride,50644–69–4
FMg,magnesium monofluoride,14953–28–7
FMn,monomanganese monofluoride,13569–25–0
FMnO3,manganese fluoride trioxide,15586–97–7
FMo,molybdenum monofluoride,60388–18–3
FN,fluoroimidogen,13967–06–1
FNO,nitrosyl fluoride,7789–25–5
FNO2,nitryl fluoride,10022–50–1
FNO3,fluorine nitrate,7789–26–6
FNS,thiazyl fluoride,18820–63–8
FNa,sodium fluoride,7681–49–4
FNa2,disodium monofluoride,87331–13–3
FNd,neodymium monofluoride,13940–77–7
FO,oxygen monofluoride,12061–70–0
FOTh,thorium monofluoride monoxide,19797–90–1
FOTi,titanium fluoride oxide,17497–75–5
FO2,dioxygen monofluoride,15499–23–7
FO3S,fluorosulfate radical,21549–02–0
FP,phosphorus monofluoride,16027–92–2
FPS,phosphenothious fluoride,55753–39–4
FPS2,phosphenodithioic fluoride,137649–46–8
FPb,lead monofluoride,14986–72–2
FPu,plutonium monofluoride,20882–16–0
FRb,rubidium fluoride,13446–74–7
FS,monosulfur monofluoride,16068–96–5
FSc,scandium monofluoride,14017–33–5
FSm,samarium monofluoride,17209–59–5
FSn,tin monofluoride,13966–74–0
FSr,strontium monofluoride,13569–27–2
FTh,thorium monofluoride,51686–34–1
FTi,titanium fluoride,18025–22–4
FTl,thallium monofluoride,7789–27–7
FW,tungsten monofluoride,51621–16–0
FXe,xenon monofluoride,16757–14–5
FY,yttrium monofluoride,13981–88–9
FZr,zirconium fluoride,13569–28–3
F2,fluorine,7782–41–4
F2Fe,ferrous fluoride,7789–28–8
F2Ga,gallium difluoride,51777–79–8
F2Gd,gadolinium difluoride,12259–19–7
F2Ge,germanium difluoride,13940–63–1
F2GeO,difluorogermanone,72190–38–6
F2Hg,mercury fluoride,7783–39–3
F2Hg2,mercury fluoride,13967–25–4
F2Ho,holmium difluoride,16087–64–2
F2IP,difluoroiodophosphine,13819–11–9
F2K2,dipotassium difluoride,12285–62–0
F2Kr,krypton difluoride,13773–81–4
F2La,lanthanum difluoride,15948–68–2
F2Li2,lithium fluoride,12265–82–6
F2Mg,magnesium fluoride,7783–40–6
F2Mn,manganese difluoride,7782–64–1
F2Mo,molybdenum difluoride,20205–60–1
F2MoO2,molybdenum difluoride dioxide,13824–57–2
F2N,difluoroamino radical,3744–07–8
F2N2O,nitrosodifluoroamine,14984–78–2
F2Na2,disodium difluoride,12285–64–2
F2Nd,neodymium difluoride,13940–76–6
F2Ni,nickel difluoride,10028–18–9
F2O,oxygen difluoride,7783–41–7
F2OS,thionyl fluoride,7783–42–8
F2OSi,difluorooxosilane,14041–22–6
F2OTi,titanium fluoride oxide,13537–16–1
F2O2,perfluoroperoxide,7783–44–0
F2O2S,sulfuryl fluoride,2699–79–8
F2O2W,tungsten difluoride dioxide,14118–73–1
F2O5S3,peroxydisulfuryl difluoride,
F2P,phosphorus difluoride,13873–52–4
F2Pb,lead difluoride,7783–46–2
F2Pt,platinum difluoride,18820–56–9
F2Pu,plutonium difluoride,20882–15–9
F2S,sulfur difluoride,13814–25–0
F2SW,tungsten difluoride monosulfide,41831–78–1
F2S2,difluorodisulfane,13709–35–8
F2S2,thiothionyl fluoride,16860–99–4
F2S2,thiothionyl fluoride,101947–30–2
F2S2W,tungsten difluoride disulfide,41831–81–6
F2Sc,scandium difluoride,14017–34–6
F2Se,selenium difluoride,70421–43–1
F2Si,difluorosilylene,13966–66–0
F2Sn,tin difluoride,7783–47–3
F2Sr,strontium fluoride,7783–48–4
F2Th,thorium difluoride,28844–11–3
F2Ti,titanium difluoride,13814–20–5
F2Tl2,dithallium difluoride,31970–97–5
F2W,tungsten difluoride,33963–15–4
F2Xe,xenon difluoride,13709–36–9
F2Y,yttrium difluoride,13981–89–0
F2Zn,zinc difluoride,7783–49–5
F2Zr,zirconium fluoride,13842–94–9
F3Fe,iron trifluoride,7783–50–8
F3Ga,gallium trifluoride,7783–51–9
F3Gd,gadolinium trifluoride,13765–26–9
F3Ho,holmium trifluoride,13760–78–6
F3La,lanthanum trifluoride,13709–38–1
F3Li3,trilithium trifluoride,110682–19–4
F3Lu,lutetium trifluoride,13760–81–1
F3Mn,manganese trifluoride,7783–53–1
F3Mo,molybdenum trifluoride,20193–58–2
F3MoO,molybdenum trifluoride oxide,22529–29–9
F3MoS,molybdenum trifluoride sulfide,67374–76–9
F3N,nitrogen trifluoride,7783–54–2
F3NO,nitrogen trifluoride oxide,13847–65–9
F3NO2S,difluoroaminosulfonyl fluoride,13709–30–3
F3NO3S,difluoraminooxysulfonyl fluoride,6816–12–2
F3NS,thiazyl trifluoride,15930–75–3
F3NaSn,sodium trifluorostannate,13782–22–4
F3Nd,neodymium trifluoride,13709–42–7
F3OP,phosphoryl fluoride,13478–20–1
F3OTa,tantalum monoxide trifluoride,20263–47–2
F3OV,vanadium trifluoride oxide,13709–31–4
F3P,phosphorus trifluoride,7783–55–3
F3PS,thiophosphoryl fluoride,2404–52–6
F3Pr,praseodymium trifluoride,13709–46–1
F3Pu,plutonium trifluoride,13842–83–6
F3Rh,rhodium fluoride,60804–25–3
F3S,sulfur trifluoride,30937–38–3
F3SW,tungsten trifluoride monosulfide,41831–79–2
F3Sb,antimony trifluoride,7783–56–4
F3Sc,scandium fluoride,13709–47–2
F3Si,trifluorosilyl radical,14835–14–4
F3Sm,samarium trifluoride,13765–24–7
F3Tb,terbium trifluoride,13708–63–9
F3Th,thorium trifluoride,13842–84–7
F3Ti,titanium trifluoride,13470–08–1
F3Tl,thallium trifluoride,7783–57–5
F3Tm,thulium trifluoride,13760–79–7
F3W,tungsten trifluoride,51621–17–1
F3Y,yttrium trifluoride,13709–49–4
F3Yb,ytterbium trifluoride,13760–80–0
F3Zr,zirconium trifluoride,13814–22–7
F4Ge,germanium tetrafluoride,7783–58–6
F4Ge2,digermanium tetrafluoride,12332–08–0
F4Hf,hafnium fluoride,13709–52–9
F4Mg2,dimagnesium tetrafluoride,56450–89–6
F4Mg2,magnesium fluoride,58790–41–3
F4Mo,molybdenum tetrafluoride,23412–45–5
F4MoO,molybdenum tetrafluoride oxide,14459–59–7
F4MoS,molybdenum tetrafluoride monosulfide,70487–60–4
F4N2,tetrafluorohydrazine,10036–47–2
F4Na2Sn,disodium tetrafluorostannate,15007–55–3
F4OOs,osmium oxide tetrafluoride,38448–58–7
F4OP2,diphosphorus tetrafluoride oxide,13812–07–2
F4ORe,rhenium tetrafluoride oxide,17026–29–8
F4OS,sulfur tetrafluoride oxide,13709–54–1
F4OW,tungsten tetrafluoride oxide,13520–79–1
F4OXe,xenon tetrafluoride oxide,13774–85–1
F4P2,diphosphorus tetrafluoride,13824–74–3
F4Pb,lead tetrafluoride,7783–59–7
F4Pt,platinum tetrafluoride,13455–15–7
F4Pu,plutonium tetrafluoride,13709–56–3
F4S,sulfur tetrafluoride,7783–60–0
F4SW,tungsten tetrafluoride monosulfide,41831–80–5
F4Se,selenium tetrafluoride,13465–66–2
F4Si,silicon tetrafluoride,7783–61–1
F4Sn2,ditin tetrafluoride,130950–28–6
F4Ti,titanium fluoride,7783–63–3
F4U,uranium tetrafluoride,10049–14–6
F4W,tungsten tetrafluoride,13766–47–7
F4Xe,xenon tetrafluoride,13709–61–0
F4Zr,zirconium tetrafluoride,7783–64–4
F5I,iodine pentafluoride,7783–66–6
F5Mo,molybdenum pentafluoride,13819–84–6
F5ORe,rhenium monoxide pentafluoride,23377–53–9
F5P,phosphorus pentafluoride,7647–19–0
F5Pu,plutonium pentafluoride,31479–19–3
F5S,disulfur decafluoride,10546–01–7
F5Sb,antimony pentafluoride,7783–70–2
F5Ta,tantalum pentafluoride,7783–71–3
F5U,uranium pentafluoride,13775–07–0
F5W,tungsten pentafluoride,19357–83–6
F6Fe2,diiron hexafluoride,17114–45–3
F6La2,lanthanum trifluoride dimer,12592–31–3
F6Mo,molybdenum hexafluoride,7783–77–9
F6NP3,nitridotriphosphorous hexafluoride,56564–56–8
F6Os,osmium hexafluoride,13768–38–2
F6Pu,plutonium hexafluoride,13693–06–6
F6Re,rhenium hexafluoride,10049–17–9
F6S,sulfur hexafluoride,2551–62–4
F6Se,selenium hexafluoride,7783–79–1
F6Si2,hexafluorodisilane,13830–68–7
F6Sn3,tritin hexafluoride,12324–60–6
F6Te,tellurium hexafluoride,7783–80–4
F6U,uranium hexafluoride,7783–81–5
F6W,tungsten hexafluoride,7783–82–6
F6Xe,xenon hexafluoride,13693–09–9
F7I,iodine fluoride,16921–96–3
F7NS,pentafluorosulfanyldifluoroamine,13693–10–2
F7Re,rhenium heptafluoride,17029–21–9
F8Si3,octafluorotrisilane,14521–14–3
F10Mo2,molybdenum fluoride,65653–18–1
F10S2,sulfur fluoride,5714–22–7
F15Mo3,molybdenum fluoride,65653–05–6
FeAsS,iron arsenic sulfide arsenopyrite,1303–18–0
FeBr2,iron(II) bromide,7789–46–0
FeBr3,iron(III) bromide,10031–26–2
FeBr3 · 6H2O,iron(III) bromide hexahydrate,
FeCO3,siderite,14476–16–5
FeC2O4,iron oxalate,15843–42–2
FeC5O5,iron pentacarbonyl pentacarbonyl iron,13463–40–6
FeC10H10,ferrocene,102–54–5
FeCl2,iron(II) chloride,7758–94–3
FeCl3,iron(III) chloride,7705–08–0
FeCr2O4,chromite (ore),1308–31–2
FeF2,iron fluoride,41428–55–1
FeF2 · 4H2O,iron(II) fluoride tetrahydrate,13940–89–1
FeI,iron monoiodide,33019–21–5
FeI2,iron diiodide iron(II) iodide,7783–86–0
FeI2 · 4H2O,iron(II) iodide tetrahydrate,13492–45–0
FeI3,iron(III) iodide,15600–49–4
FeMoO4,iron(II) orthomolybdate,13718–70–2
FeO,iron monoxide iron(II) oxide wüstite,1345–25–1
FeO2,iron dioxide,12411–15–3
FeO2H,goethite,1310–14–1
FeO2H · nH2O,limonite,1317–63–1
Fe(OH)2,iron(II) hydroxide,18624–44–7
Fe(OH)3,iron(III) hydroxide,11113–66–9
Fe(SCN)3,iron(III) Thiocyanate,
FeO4S,ferrous sulfate,7720–78–7
FeO4Se,iron(II) selenate ferrous selenate,15857-43-9
FeO8H4P2,iron(II) dihydrogen phosphate,
FeP,iron(III) phosphide,26508–33–8
FePO4,iron(III) phosphate,58782–48–2
FeS,iron sulfide iron(II) sulfide,1317–96–0
Fe2S3,iron sulfide iron(III) silfide,1317–96–0
FeS2,pyrite fool's gold,1309–36–0
FeS2,iron(IV) sulfide marcasite,12068–85–8
FeSe,iron(II) selenide,1310–32–3
FeTe,iron(II) telluride,12125–63–2
FeTiO3,iron(II) metatitanate,12022–71–8
FeTiO3,ilmenite,12168–52–4
FeVO4,iron(III) orthovanadate,
FeWO4,iron(II) orthotungstate,13870–24–1
FeZrO3,iron(II) metazirconate,
Fe2I2,diiron diiodide,92785–64–3
Fe2I4,diiron tetraiodide,92785–63–2
Fe2O3,iron oxide iron(III) oxide hematite,1317–60–8
Fe2O3,venetian red,8011–97–0
Fe2O12S3,ferric sulfate iron(III) sulfate,10028–22–5
Fe2O12W3,iron(III) orthotungstate,
Fe2P,diiron phosphide,1310–43–6
Fe2SiO4,fayalite,13918–37–1
Fe3H2Na2O45Si,chrysotile white asbestos,12001–28–4
Fe3O4,"iron(II,III) oxide magnetite triiron(II, III) tetraoxide",1309–38–2
Fe3P,iron(tri) phosphide,12023–53–9
Fe4(P2O7)3,iron(III) pyrophosphate,
Fe7Si8O24H2,amosite brown asbestos grunerite,12172–73–5
,,
GaAs,gallium(III) arsenide,1303–00–0
GaAsO4,gallium(III) orthoarsenate,
GaBr3,gallium(III) bromide,13450–88–9
Ga(C2H3O2)3,gallium(III) acetate,2571–06–4
GaCl2,gallium(II) chloride,128579–09–9
GaCl3,gallium trichloride,13450–90–3
Ga(ClO4)3,gallium(III) perchlorate,17835–81–3
GaI2,gallium(II) iodide,
GaI3,gallium(III) iodide,13450–91–4
GaN,gallium(III) nitride,25617–97–4
Ga(OH)3,gallium(III) hydroxide,12023–99–3
GaPO4,gallium(III) orthophosphate,
GaSb,gallium(III) antimonide,12064–03–8
GaTe,gallium(II) telluride,12024–14–5
Ga2O3,gallium(III) oxide,12024–21–4
Ga2(SO4)3·18H2O,gallium(III) sulfate octadecahydrate,
Ga2S3,gallium(III) sulfide,12024–22–5
Ga2Te3,gallium(III) telluride,12024–27–0
GeBr4,germanium(IV) bromide,13450–92–5
GeH3COOH,2-germaacetic acid,
GeI2,germanium(II) iodide,13573–08–5
GeI4,germanium(IV) iodide,13450–95–8
GeO,germanium(II) oxide,20619–16–3
,,
HArF,argon fluorohydride,
HAt,hydrogen astatide,
HBr,hydrogen bromide hydrobromic acid,10035–10–6
HBrO,hypobromous acid,13517–11–8
HBrO2,bromous acid,
HBrO3,bromic acid,
HBrO4,perbromic acid,
HCCH,acetylene ethyne,74–86–2
HCN,hydrocyanic acid hydrogen cyanide,6914–07–4
HCNO,fulminic acid,
HCONH2,formamide methanamide,75–12–7
HCOO−,formate ion,71–47–6
HCOOH,formic acid methanoic acid,64–18–6
HCOONH4,ammonium formate,540–69–2
HCO3−,hydrogen carbonate ion,71–52–3
HC3H5O3,lactic acid,50–21–5
HC5H5N+,pyridinium ion,
HC6H7O6,ascorbic acid,50–81–7
HC9H7O4,acetylsalicylic acid,50–78–2
HC12H17ON4SCl2,thiamine hydrochloride vitamin B1 hydrochloride,67–03–8
HCl,hydrochloric acid hydrogen chloride,7647–01–0
HClO,hypochlorous acid,7790–92–3
HClO2,chlorous acid,13898–47–0
HClO3,chloric acid,7790–93–4
HClO4,perchloric acid,7601–90–3
HDO,semiheavy water water-d1,14940–63–7
HF,hydrofluoric acid,7664–39–3
HI,hydroiodic acid,10034–85–2
HIO,hypoiodous acid,14332–21–9
HIO2,iodous acid,
HIO3,iodic acid,7782–68–5
HIO4,periodic acid,13444–71–8
HNCO,isocyanic acid,
HNO,nitroxyl,14332–28–6
HNO2,nitrous acid,7782–77–6
HNO3,nitric acid hydrogen nitrate,7697–37–2
HN3,hydrazoic acid,7782–79–8
HOBr,hypobromous acid,13517–11–8
HOCl,hypochlorous acid,7790–92–3
HOF,hypofluorous acid,14034–79–8
HOOCCOOH,oxalic acid,144–62–7
HPO42−,hydrogen phosphate ion,14066–19–4
HSO3−,hydrogen sulfite ion,15181–46–1
HSO4−,hydrogen sulfate,12143–45–2
HTO,partially tritiated water water-t,13670–17–2
H2,hydrogen,1333–74–0
H2C(CH)CN,acrylonitrile,107–13–1
H2CO,formaldehyde,19710–56–6
H2CO3,carbonic acid,107–32–4
H2CSO,sulfine,40100–16–1
H2C2O4,oxalic acid,144–62–7
H2C4H4O6,tartaric acid,87–69–4
H2C8H4O4,phthalic acid H2Ph,
H2CrO4,chromic acid,7738–94–5
H2NCH2COOH,glycine,56–40–6
H2N2O2,hyponitrous acid,14448–38–5
H2NNH2,hydrazine,302–01–2
H2O,water,7732–18–5
H2O2,hydrogen peroxide,7722–84–1
H2O2Si,Oxosilanol,59313-55-2
H2PO4−,dihydrogen phosphate ion,14066–20–7
H2S,hydrogen sulfide hydrosulfuric acid,7783–06–4
H2SO3,sulfurous acid,7782–99–2
H2SO4,sulfuric acid hydrogen sulfate,7664–93–9
H2S2O2,thiosulfurous acid,
H2S2O3,thiosulfuric acid,13686–28–7
H2S2O4,dithionous acid,15959–26–9
H2S2O5,disulfurous acid,
H2S2O6,dithionic acid,14970–71–9
H2S2O7,disulfuric acid,8014–95–7
H2S2O8,peroxydisulfuric acid,13445–49–3
H2SeO3,selenous acid,7783–00–8
H2SeO4,selenic acid,7783–08–6
H2SiO3,silicic acid,7699–41–4
H2TeO3,tellurous acid,10049–23–7
H2TiO3,titanic acid,
H3AsO4,arsenic acid,7778–39–4
H3CCH2CH3,propane,74–98–6
H3N+CH2COO−,zwitterion,
H3O+,hydronium ion,13968–08–6
H3PO2,hypophosphorous acid,
H3PO3,phosphorous acid,
H3PO4,phosphoric acid,7664–38–2
H4XeO6,perxenic acid,
H6TeO6,telluric acid,7803–68–1
HfBr4,hafnium(IV) bromide,13777–22–5
HfF4,hafnium(IV) fluoride,13709–52–9
HfOCl2 · 8H2O,hafnium(IV) oxychloride octahydrate,14456–34–9
HfOH(C2H3O2)3,"hafnium(IV) acetate, basic",
Hf(SO4)2,hafnium(IV) sulfate,15823–43–5
Hg(BrO3)2 · 2H2O,mercury(II) bromate dihydrate,
Hg2Br2,mercury(I) bromide,10031–18–2
HgBr2,mercury(II) bromide,7789–47–1
Hg(C2H3O2)2,mercury(II) acetate,1600–27–7
Hg(C7H5O2)2 · H2O,mercury(II) benzoate monohydrate,
HgClO4 · 4H2O,mercury(I) perchlorate tetrahydrate,
Hg(ClO4)2 · 3H2O,mercury(II) perchlorate trihydrate,
HgCl2,mercury(II) chloride,7487–94–7
Hg(IO3)2,mercury(II) iodate,7783–32–6
HgI2,mercury(II) iodide,7774–29–0
Hg(NO3)2 · H2O,mercury(II) nitrate monohydrate,7783–34–8
Hg(CNO)2,mercury(II) fulminate,628–86–4
HgNa,sodium amalgam,
HgO,mercury(II) oxide,21908–53–2
Hg(OH)2,mercury(II) hydroxide,
HgS,mercury(II) sulfide cinnabar,1344–48–5
Hg(SCN)2,mercury(II) thiocyanate,592–85–8
HgSe,mercury(II) selenide,20601–83–6
HgSeO3,mercury(II) selenite,
HgTe,mercury(II) telluride,12068–90–5
HgTeO3,mercury(II) tellurite,
HgWO4,mercury(II) tungstate,37913–38–5
Hg2Br2,mercury(I) bromide,15385–58–7
Hg2Cl2,mercury(I) chloride,10112–91–1
Hg2I2,mercury(I) iodide,15385–57–6
Hg3(AsO4)2,mercury(II) orthoarsenate,7784–37–4
Hg3(PO4)2,mercury(II) phosphate,7782–66–3
IBr,iodine monobromide,7789–33–5
IBr3,iodine tribromide,7789–58–4
ICl,Iodine monochloride,7790–99–0
ICl3,iodine(III) chloride,865–44–1
IO3,trioxidoiodine,
IO3−,iodate ion,15454–31–6
I2,iodine,7553–56–2
I−,iodide ion,20461-54-5
I3−,triiodide ion,14900–04–0
I5−,pentaiodide ion,22318-17-8
I2O5,iodine pentoxide,12029–98–0
InAs,indium(III) arsenide,1303–11–3
InBr,indium(I) bromide,14280–53–6
InBrI2,indium(III) bromodiiodide,
InBr2I,indium(III) dibromoiodide,
InBr3,indium(III) bromide,13465–09–3
InCl,indium(I) chloride,13465–10–6
InCl2,indium(II) chloride,
InCl3,indium(III) chloride,10025–82–8
InCl3·4H2O,indium(III) chloride tetrahydrate,22519–64–8
InI,indium(I) iodide,13966–94–4
In(IO3)3,indium(III) iodate,
InI2,indium(II) iodide,
InI3,indium(III) iodide,13510–35–5
In(NO3)3·4.5H2O,indium(III) nitrate tetrahemihydrate,
In(OH)3,indium(III) hydroxide,20661–21–6
InP,indium(III) phosphide,22398–80–7
InPO4,indium(III) orthophosphate,14693–82–4
InS,indium(II) sulfide,12030–14–7
InSb,indium(III) antimonide,1312–41–0
InTe,indium(II) telluride,12030–19–2
In2O3,indium(III) oxide,1312–43–2
In2(SO4)3·H2O,indium(III) sulfate monohydrate,304655–87–6
In2S3,indium(III) sulfide,12030–24–9
In2Se3,indium(III) selenide,12056–07–4
In2Te3,indium(III) telluride,1312–45–4
IrBr3,iridium(III) bromide,10049–24–8
,,
KAl(SO4)2,potassium alum,10043–67–1
KAsO2,potassium arsenite,10124-50-2
KH2AsO4,potassium dihydrogen arsenate,
KBr,potassium bromide,7758–02–3
KBrO,potassium hypobromite,
KBrO2,potassium bromite,
KBrO3,potassium bromate,7758–01–2
KBrO4,potassium perbromate,22207–96–1
KCN,potassium cyanide,151–50–8
